id_cliente,data_atendimento,canal,duracao_segundos,nota
1,2024-03-29,telefone,962,2.5
1,2024-05-10,telefone,957,4.0
1,2024-06-16,telefone,1075,3.5
1,2024-06-20,chat_site,600,4.0
1,2024-08-12,chat_site,113,3.0
1,2024-09-03,chat_site,875,3.0
1,2024-09-04,chat_site,117,2.5
3,2025-07-12,telefone,611,3.0
3,2025-08-14,whatsapp,364,2.5
3,2025-09-29,whatsapp,421,4.0
3,2025-10-06,chat_site,767,3.5
3,2025-10-19,telefone,520,4.5
3,2025-11-07,telefone,983,4.0
3,2025-11-17,chat_site,66,4.0
3,2025-12-10,whatsapp,307,3.5
3,2025-12-19,whatsapp,360,3.0
7,2024-03-28,telefone,427,3.0
7,2024-04-15,telefone,1037,2.5
7,2024-04-29,telefone,1191,3.0
7,2024-05-30,telefone,572,3.5
7,2024-06-01,whatsapp,417,4.0
7,2024-06-28,whatsapp,285,3.5
7,2024-09-03,telefone,993,3.0
9,2025-02-19,telefone,763,2.5
9,2025-03-02,chat_site,475,3.0
9,2025-03-14,telefone,491,1.0
9,2025-03-15,telefone,866,4.0
9,2025-03-31,chat_site,722,3.5
9,2025-04-06,telefone,588,1.5
9,2025-04-18,telefone,314,3.0
9,2025-04-22,telefone,111,1.0
9,2025-04-24,chat_site,651,3.5
10,2024-05-24,whatsapp,221,2.0
10,2024-05-29,telefone,298,4.0
10,2024-06-06,whatsapp,559,1.5
10,2024-06-07,telefone,456,4.0
10,2024-07-07,whatsapp,577,3.0
10,2024-07-08,whatsapp,141,2.5
10,2024-07-25,chat_site,472,1.5
10,2024-07-31,telefone,834,5.0
11,2025-04-01,chat_site,313,3.0
11,2025-04-21,telefone,704,3.0
11,2025-06-07,telefone,900,3.5
11,2025-06-30,chat_site,258,2.0
11,2025-07-05,chat_site,670,4.5
11,2025-09-14,whatsapp,80,5.0
14,2025-11-16,whatsapp,541,4.0
14,2025-11-27,whatsapp,141,2.0
14,2025-12-23,chat_site,454,3.5
14,2026-01-14,chat_site,325,3.0
14,2026-02-05,telefone,907,4.0
14,2026-02-10,telefone,165,5.0
14,2026-02-11,telefone,918,2.0
