id_cliente,data_entrada,data_saida,reativacao,data_reativacao,idade,cep,possui_internet_basica,possui_internet_fibra,possui_streaming,churn
1,2024-03-16,,False,,40,60811,True,True,True,False
2,2025-10-20,,False,,39,80240,True,False,False,False
3,2025-07-11,,False,,55,5422,True,False,True,False
4,2025-01-08,,False,,56,1310,False,True,True,False
5,2025-01-03,2025-07-20,True,2025-09-23,38,70673,False,True,False,True
6,2025-12-31,2026-05-15,False,,40,69005,True,False,False,True
7,2024-03-14,,False,,52,80240,False,True,False,False
8,2025-08-16,,False,,34,30130,True,False,True,False
9,2024-06-20,2025-05-04,False,,40,1310,True,False,False,True
10,2024-03-21,2024-08-04,False,,46,60811,True,False,False,True
11,2025-03-24,,False,,58,22640,True,False,True,False
12,2026-04-10,,False,,37,40020,True,False,True,False
13,2025-09-18,2025-12-19,False,,21,40020,True,False,False,True
14,2025-10-09,,False,,20,22290,True,True,False,False
15,2025-09-02,2026-03-22,False,,29,4538,False,False,True,True
16,2025-10-30,,False,,28,30140,False,True,False,False
17,2025-03-12,,False,,43,22640,True,False,True,False
18,2024-04-19,2024-05-27,True,2024-07-08,30,40020,True,False,False,True
19,2025-12-15,,False,,36,51020,True,False,True,False
20,2025-01-18,,False,,35,20040,True,False,True,False
21,2025-03-01,,False,,39,80010,True,True,True,False
22,2024-11-11,,False,,62,1310,False,True,False,False
23,2024-06-04,,False,,54,20040,True,False,False,False
24,2026-02-27,2026-05-12,False,,45,41820,False,True,False,True
25,2025-10-27,,False,,39,50030,False,True,False,False
26,2025-07-01,,False,,39,50030,True,True,True,False
27,2024-12-08,,False,,49,5422,True,False,False,False
28,2025-12-01,,False,,53,80240,True,False,False,False
29,2025-04-09,2025-09-29,False,,33,70040,False,True,False,True
30,2025-01-12,2025-10-22,False,,45,69058,True,False,False,True
31,2025-01-18,,False,,19,90430,True,False,True,False
32,2024-07-12,2024-09-23,True,2024-12-07,48,69005,False,False,True,True
33,2024-03-19,2024-10-25,False,,55,5422,False,True,False,True
34,2025-04-16,,False,,41,70040,False,True,True,False
35,2026-01-25,,False,,69,50030,False,True,True,False
36,2024-02-24,,False,,34,30130,False,True,False,False
37,2025-12-31,,False,,48,90010,False,True,True,False
38,2025-12-05,,False,,45,80010,True,False,True,False
39,2024-08-23,,False,,44,69058,True,False,True,False
40,2025-06-21,,False,,44,2011,True,False,False,False
41,2024-05-20,,False,,46,69005,False,True,False,False
42,2025-10-07,,False,,56,30140,False,True,False,False
43,2025-08-19,,False,,63,70040,True,False,False,False
44,2024-10-28,2025-05-23,False,,45,80010,False,True,False,True
45,2024-02-27,2024-04-01,False,,56,22290,False,True,True,True
46,2026-04-06,2026-05-19,False,,36,69058,True,False,False,True
47,2025-01-14,2025-09-18,False,,55,60811,True,False,False,True
48,2026-01-30,,False,,35,69058,True,True,True,False
49,2025-07-30,,False,,59,69058,True,False,False,False
50,2025-10-24,,False,,74,90430,False,True,True,False
51,2025-10-08,,False,,43,70040,False,True,False,False
52,2024-06-14,,False,,18,60160,True,True,True,False
53,2024-11-05,,False,,38,1310,True,False,False,False
54,2025-02-01,,False,,61,51020,False,True,True,False
55,2025-02-27,,False,,52,70673,True,True,True,False
56,2024-02-07,2024-07-20,False,,48,90430,False,False,True,True
57,2025-04-10,2025-11-28,True,2026-01-18,58,30130,False,False,True,True
58,2024-05-11,,False,,51,30130,True,False,True,False
59,2025-09-24,,False,,61,1310,False,True,False,False
60,2025-08-04,,False,,57,70040,True,False,True,False
61,2026-02-24,,False,,65,30140,True,False,True,False
62,2025-09-25,,False,,50,20040,False,True,False,False
63,2024-11-08,,False,,57,20040,True,False,True,False
64,2026-04-03,,False,,41,80240,True,False,False,False
65,2024-12-15,,False,,37,22640,True,True,True,False
66,2024-10-04,,False,,67,51020,True,False,True,False
67,2026-02-09,,False,,48,5422,False,True,False,False
68,2024-11-11,,False,,55,80240,False,False,True,False
69,2024-03-05,,False,,47,2011,False,True,False,False
70,2025-02-03,,False,,37,80010,True,False,True,False
71,2025-11-08,2026-02-03,True,2026-04-04,45,80240,True,False,False,True
72,2024-06-10,,False,,64,90430,False,True,False,False
73,2025-01-28,,False,,52,70040,False,True,False,False
