id_cliente,ano_mes,receita_bruta
1,2024-03,228.13
1,2024-04,232.32
1,2024-05,231.6
1,2024-06,228.2
1,2024-07,200.64
1,2024-08,238.9
1,2024-09,233.77
1,2024-10,245.39
1,2024-11,239.16
1,2024-12,188.56
1,2025-01,187.83
1,2025-02,236.23
1,2025-03,232.67
1,2025-04,227.76
1,2025-05,234.76
1,2025-06,238.32
1,2025-07,197.96
1,2025-08,229.19
1,2025-09,227.65
1,2025-10,231.06
1,2025-11,228.28
1,2025-12,194.64
1,2026-01,192.28
1,2026-02,229.28
1,2026-03,245.79
1,2026-04,237.68
1,2026-05,225.89
2,2025-10,80.62
2,2025-11,78.62
2,2025-12,61.95
2,2026-01,65.63
2,2026-02,75.67
2,2026-03,77.98
2,2026-04,81.12
2,2026-05,80.99
3,2025-07,70.93
3,2025-08,87.13
3,2025-09,86.02
3,2025-10,86.77
3,2025-11,80.48
3,2025-12,71.13
3,2026-01,66.28
3,2026-02,82.74
3,2026-03,87.02
3,2026-04,83.36
3,2026-05,85.36
4,2025-01,121.84
4,2025-02,149.6
4,2025-03,157.93
4,2025-04,161.24
4,2025-05,162.46
4,2025-06,154.31
4,2025-07,136.74
4,2025-08,154.17
4,2025-09,153.04
4,2025-10,148.45
4,2025-11,151.97
4,2025-12,122.02
4,2026-01,123.26
4,2026-02,152.57
4,2026-03,161.46
4,2026-04,151.24
4,2026-05,160.84
5,2025-01,121.08
5,2025-02,153.49
5,2025-03,147.39
5,2025-04,142.88
5,2025-05,145.6
5,2025-06,136.54
5,2025-07,102.54
5,2025-09,156.1
5,2025-10,153.53
5,2025-11,149.0
5,2025-12,116.09
5,2026-01,126.09
5,2026-02,157.39
5,2026-03,152.13
5,2026-04,154.14
5,2026-05,150.21
6,2025-12,50.53
6,2026-01,49.45
6,2026-02,60.25
6,2026-03,57.99
6,2026-04,54.02
6,2026-05,45.85
7,2024-03,132.76
7,2024-04,135.77
7,2024-05,134.87
7,2024-06,137.44
7,2024-07,124.61
7,2024-08,133.8
7,2024-09,137.68
7,2024-10,143.3
7,2024-11,144.74
7,2024-12,115.74
7,2025-01,118.33
7,2025-02,142.41
7,2025-03,143.09
7,2025-04,138.58
7,2025-05,136.91
7,2025-06,139.14
7,2025-07,122.93
7,2025-08,141.77
7,2025-09,143.47
7,2025-10,141.46
7,2025-11,142.93
7,2025-12,109.18
7,2026-01,111.07
7,2026-02,140.53
7,2026-03,132.92
7,2026-04,145.43
7,2026-05,136.03
8,2025-08,78.73
8,2025-09,81.72
8,2025-10,79.17
8,2025-11,78.5
8,2025-12,67.29
8,2026-01,65.01
8,2026-02,81.82
8,2026-03,78.91
8,2026-04,81.64
8,2026-05,80.57
9,2024-06,55.34
9,2024-07,46.63
9,2024-08,56.43
9,2024-09,55.78
9,2024-10,54.5
9,2024-11,51.64
9,2024-12,44.91
9,2025-01,44.02
9,2025-02,55.93
9,2025-03,51.81
9,2025-04,46.28
9,2025-05,44.65
10,2024-03,74.57
10,2024-04,79.11
10,2024-05,77.88
10,2024-06,74.46
10,2024-07,62.26
10,2024-08,60.59
11,2025-03,73.39
11,2025-04,68.43
11,2025-05,71.69
11,2025-06,72.51
11,2025-07,62.29
11,2025-08,67.02
11,2025-09,67.01
11,2025-10,73.91
11,2025-11,70.66
11,2025-12,54.55
11,2026-01,54.34
11,2026-02,72.65
11,2026-03,73.32
11,2026-04,70.64
11,2026-05,69.56
12,2026-04,89.93
12,2026-05,84.38
13,2025-09,57.41
13,2025-10,53.16
13,2025-11,52.08
13,2025-12,38.71
14,2025-10,182.07
14,2025-11,185.52
14,2025-12,152.03
14,2026-01,152.83
14,2026-02,181.56
14,2026-03,193.2
14,2026-04,179.76
14,2026-05,179.91
15,2025-09,26.65
15,2025-10,25.13
15,2025-11,24.95
15,2025-12,21.19
15,2026-01,19.87
15,2026-02,22.81
15,2026-03,21.32
16,2025-10,133.43
16,2025-11,134.93
